Question,Sub question,Type,Anita Bonds,Kenyan R. McDuffie,Karim D. Marshall,Frederick Hill III,Graham McLaughlin,David Schwartzman,Elissa Silverman
"_A 12-year study, published in 2019, found that protected bike lanes drastically lowered fatal crash rates *for all road users* in Seattle (-60.6%), San Francisco (-49.3%), Denver (-40.3%) and Chicago (-38.2%), among others._ Would you, as council member, support removing single-occupancy vehicle parking and travel lanes for protected bike lanes?",Response,Response,1. Yes,1. Yes,1. Yes,2. No,1. Yes,1. Yes,Yes
"If 1. Yes, how do you think DDOT should prioritize repurposing street space to create protected bike lanes?",Response,Response,DDOT should prioritize repurposing existing parking lanes.,DDOT should repurpose whichever lane their staff believe is best on any given street.,DDOT should prioritize repurposing existing travel lanes.,I do not think that DDOT should repurpose street space for protected bike lanes.,DDOT should repurpose whichever lane their staff believe is best on any given street.,DDOT should prioritize repurposing existing parking lanes.,DDOT should prioritize repurposing existing travel lanes.
"_Road pricing, or congestion pricing, in which motorists pay directly for driving on a particular road or in a particular area, has successfully reduced congestion, improved air quality, and raised money in London, Stockholm, Singapore, Milan, and elsewhere by reducing the number of vehicles on the road and improving transit performance. New York will be implementing road pricing in the next few years. However, many drivers are loathe to pay for something that they currently get for free._ Would you, as council member, support road pricing as a means to reduce congestion to speed up transit, improve air quality, and raise revenue?",Response,Response,1. Yes,1. Yes,1. Yes,2. No,1. Yes,1. Yes,Yes
"If 1. Yes, how would you propose reinvesting the $90 to $500 million in revenue road pricing is estimated to generate for the District? If 2. No, please write, ""I do not support road pricing.""",Open-Ended Response,Open-Ended Response,I would invest a large portion of this into homeownership programs.,"This revenue should be used to support Vision Zero, the development of repurposed street space, and improving access to public transit throughout the city, particularly in neighborhoods underserved by transit, especially communities east of the Anacostia River.","I would use the additional revenue to provide cash incentives to residents to enable the purchase of electric bikes and vehicles for residents, expand bus service, and prioritize maintenance of road infrastructure to serve residents who live in transit-starved neighborhoods.",I do not support road pricing.,"My website- GrahamForDC.com- outlines a list of my top policy goals. Road pricing, specifically bridge toll pricing, is one of those policy goals and I use it to enable a cost neutral way of implementing the entire policy slate. From that proposal, I would use this revenue to support investments in funding the Birth to Three Act, expanded public transportation services, and supporting small businesses in order to ensure we have a thriving local economy that draws foot traffic from residents and incents commuters to come into the District (ideally via metro and bus). That said, I also believe maintaining some flexibility of how to spend these funds is prudent to ensure that as federal supports expire and tax revenues possibly decline due to commercial vacancies the District remains in a strong financial position.","Use this revenue for electrification of bus service, increasing its availability and convenience particularly where it is most needed, e.g., east of the river, as a component of essentially Free Metro as proposed by Councilmember Allen's legislation.",Make streets safer for everyone
"_In 2019, the council budgeted $475,000 for a road pricing study. The study is complete, but Mayor Bowser has not yet released it._ Do you think the study should be made public?",Response,Response,1. Yes,1. Yes,1. Yes,1. Yes,1. Yes,1. Yes,Yes
"If ""1. Yes,"" how would you get the executive to release the report? If ""2. No,"" please write, ""I do not think the study should be made public.""",Open-Ended Response,Open-Ended Response,I will continue to push the executive to release the report. I will work with the Committee on Transportation and its Chairperson to work to get the report released.,"I would ask the Executive for an update on why the report hasn't been released yet and seek a public date for report release; if the answers are unsatisfactory, I would request the Transportation Committee chair and members send the executive a letter establishing a date certain by which the report must be released and indicating that, if the executive fails to comply, the committee would hold a hearing.","All studies paid for with public funds should be made public and if necessary I will introduce legislation to make it so. I have worked in three different administrations, so I know there are several layers of administrative review that occur before a report is transmitted to the Council or made public. A phone call from an interested Councilmember to the relevant Deputy Mayor or City Administrator is typically enough to dislodge a transmittal, so I would make the phone call.",I would ask them to release it and also read the language on rather it could be released once completed and if the language does not allow them to I would ask why not.,"One of my first acts as a legislator would be introducing legislation to implement bridge toll road pricing. By pushing this as a key policy agenda and actually trying to get it done (rather than long-term legislators saying they support something like this on questionnaires but never putting political muscle behind advancing it), public momentum would be built to release the report as part of debate on whether to pass bridge toll road pricing. In parallel, we would also need to lobby Congress while developing the bill to ensure this is not viewed as a violation of the Home Rule Act.",By a combination of Council and public pressure.,Council transportation committee should raise holy hell
"_WMATA is facing a $375 million budget deficit in FY24, as federal support for transit provided during Covid-19 is not likely to be renewed. Though the District, Maryland, and Virginia entered into a regional commitment to fund some of WMATA's capital costs year over year, WMATA's operations do not have a similar dedicated funding stream. Given the need to find local solutions,_ what will you do to assist in closing WMATA's operational funding gap?",Open-Ended Response,Open-Ended Response,"MAryland and Virginia need to pay more. The District pays the most of all three jurisdictions, and it is time for them to increase how much they pay.","The Council needs to help encourage ridership within the District to get the riders back on buses and the Metro. This can also be done by investing in infrastructure within the District that encourages the use of public transportation. I know from my time as the Chair of the Metropolitan Washington Council of Governments how to engage collaboratively with colleagues in Maryland and Virginia to emphasize the significance of WMATA's provision of safe, reliable public transit to our region and, as was the case with its capital funding needs, the critical nature of ensuring that WMATA gets the operating funds it needs. This work necessarily includes working with the federal government for other forms of investment in WMATA.","As Councilmember, I would work with WMATA to increase ridership to bolster operating revenue. I would also support a solution to provide additional dedicated funding to WMATA with our neighboring jurisdictions and subsidize point to point trips that start and end at DC stations for District residents.","I would ask employers to Pitchin as most of them do, I would ask the riders who really use WMATA get a buy on get one card, and I will introduce legislation that uses data to target high impact riders and give them incentives.","This is one of the biggest issues facing our city, but it is receiving some of the least debate. We will no longer have a public transit infrastructure if we do not begin to take budget action now. A critical aspect is continuing to view WMATA as a regional transit provider and acting as a region in funding, but beyond regional partnership I would focus on a few supplemental levers (in priority order):
1- Density bonuses near public transportation for housing providers, with all fees going to public transit infrastructure
2- Ride hailing vehicle fee of an additional $1 per trip on Lyft, Uber, etc. to fund WMATA, ideally implemented in a coordinated way regionally
3- While this is an admitted long shot, we are in a fiscal situation with WMATA where we need to put innovative long shots on the table, so I'd also push a DMV collaboration to create a regional limit on GHGs to then create a DMV cap and trade program",DC should promote a regional surtax on millionaire income and follow up its historic tax hike on wealthy residents last summer with a tax hike on the big corporate/developer sector.,"We need to incentivize people to stop taking Uber and Lyft and get back on public transit. We do that by making Metro the better, more reliable, cheaper option. These companies are putting MORE cars on the road and they are not profitable; they were called disruptive, that's right, they are DISRUPTING our public transit. STOP TAKING UBER if you think DC has too many cars. Most of the drivers are from MD and VA!! Plus they are engaging in wage theft by not classifying drivers correctly."
"Do you support Councilmember Charles Allen's Metro for D.C. proposal, which would ""put a recurring $100 balance to D.C. residents' SmarTrip cards every month and make a $10 million annual investment in improving bus service and infrastructure in the District""?",Response,Response,1. Yes,1. Yes,1. Yes,2. No,1. Yes,1. Yes,Yes
"Assuming $500 million could be invested in either fare-free transit for all users or guaranteed headways of 10 minutes or less on bus lines within D.C., which would you prefer?",Response,Response,Guaranteed headways of 10 minutes or less within D.C.,Fare-free transit,Guaranteed headways of 10 minutes or less within D.C.,Fare-free transit,Guaranteed headways of 10 minutes or less within D.C.,Fare-free transit,Guaranteed headways of 10 minutes or less within D.C.
"Pick a major street in the District that does not currently have a pending transportation project. Describe what you envision for it, and explain how you would work with the District Department of Transportation to implement that vision.",Open-Ended Response,Open-Ended Response,"New York Ave NE. Where we have commercial properties, I would add a side street for easy access to the businesses, similar to K street. I would include bike lines on the side streets, as well","There are a multitude of projects that would be great to initiate for the District but one that comes to mind is establishing a dedicated, rapid bus line along New York Avenue from the NoMa-Gallaudet University Metrorail station to the Shops at Dakota Crossing, which would include stops at the Union Market area, Ivy City, and the Arboretum community. I have worked for years with stakeholders to improve the New York Avenue corridor, which has evolved into a vibrant area with new housing and businesses, including retail, restaurants, and breweries and distilleries. While residents living in and around the Ft. Lincoln, Woodridge, Arboretum, Ivy City, Eckington, and Union Market neighborhoods enjoy the new amenities, they frequently lament about the challenges of accessing the areas outside of where they live. The lack of reliable public transportation options along New York Avenue limits residents' ability to commute to and from job centers as well as restrict opportunities for visitors to patronize area businesses. 

Another is on M Street and Maryland Avenue in NE, reopening the entrance to the Arboretum there. Opening a safe pedestrian and bicycle friendly entrance in this area would help grow the access to greenspace in the area. The communities of this area, in particular Langston and Carver neighborhoods, are disconnected from the greenspaces in the area right next to them. Helping connect the Langston Golf course, Arboretum, Kenilworth Gardens with surrounding communities on that would use this entrance would benefit them all and open more greenspace.","The Intersection of Minnesota Avenue and Pennsylvania Avenue SE, East of the Sousa Bridge. This section of Pennsylvania Avenue is a highway leading into three neighborhoods. Because of its location, this is an unacknowledged transit transfer/hub for the 30 lines and several lines serving neighborhoods. It is incredibly dangerous and because of its poor design (entry and exit ways around the intersection and from 295) an earlier attempt at bringing Yes! Organic to a neighborhood without healthy food options was doomed to fail. I would completely reconfigure the intersection to significantly slow down traffic, prioritize bus access, and enable safe access to bicycles. A pedestrian friendly circle at this intersection would enable access to both sides of Pennsylvania Avenue and facilitate the economic revitalization of this corridor. 

New Hampshire Avenue between Swann and U Street NW I would close this two-block street to through vehicle traffic. It is relatively level, straight and has several other options to redirect vehicles around the closure. The road could then be repurposed into an expansion of the T Street Park greenspace. A slightly elevated cycle track could form a cyclist hub for that part of Northwest. This would require some degree of accommodation for the easements from the existing buildings, but because this portion of the city is heavily overbuilt, the addition of greenspace would help combat the heat island effect.",There does not appear to be any.,"I am going to cheat a bit and propose a more expanded transportation project vision at the Deanwood Metro, with a focus on Minnesota Av NE and surrounding areas. I would love to work with DDOT to reimagine the parcel that includes the huge parking lot, Deanwood Recreation Center, and the area surrounding the metro into a mixed use development that included affordable housing, a grocery store, an updated and accessible recreation center built into the development, a community garden, and other amenities provided by community feedback. This project could be a model for investment in quickly gentrifying neighborhoods that ensures long-term affordable housing (perhaps via a land trust or limited equity co-op), develops with a public health lens, and thoughtfully builds/provides incentives to particular retail based on community feedback.",Needs study.,"Start with Southern Avenue SE, our most deadly street in the District by far. SLOW CARS down by putting it on a diet. STOP it from being a superhighway to Prince George's County!!"
"_Preventing drivers from killing people will require not just incentives for people to drive less and nudges to make them drive better. It will also require policies that actively reshape the District's transportation systems and its landscape to decrease single-occupancy vehicle trips, and to slow down the speed of those trips when people do make them._ Please rank the following policies in the order that you would request your staff pursue them.",would not pursue|ordered,Rank,,,,,,,
"_Preventing drivers from killing people will require not just incentives for people to drive less and nudges to make them drive better. It will also require policies that actively reshape the District's transportation systems and its landscape to decrease single-occupancy vehicle trips, and to slow down the speed of those trips when people do make them._ Please rank the following policies in the order that you would request your staff pursue them.",Implementing a road-pricing program,Option,4,2,2,7,1,1,7
"_Preventing drivers from killing people will require not just incentives for people to drive less and nudges to make them drive better. It will also require policies that actively reshape the District's transportation systems and its landscape to decrease single-occupancy vehicle trips, and to slow down the speed of those trips when people do make them._ Please rank the following policies in the order that you would request your staff pursue them.","Increasing the cost to own a car in the District, including RPP and parking registration",Option,5,0,6,6,0,0,5
"_Preventing drivers from killing people will require not just incentives for people to drive less and nudges to make them drive better. It will also require policies that actively reshape the District's transportation systems and its landscape to decrease single-occupancy vehicle trips, and to slow down the speed of those trips when people do make them._ Please rank the following policies in the order that you would request your staff pursue them.",Removing minimum parking requirements in new developments near transit,Option,6,5,4,1,3,4,6
"_Preventing drivers from killing people will require not just incentives for people to drive less and nudges to make them drive better. It will also require policies that actively reshape the District's transportation systems and its landscape to decrease single-occupancy vehicle trips, and to slow down the speed of those trips when people do make them._ Please rank the following policies in the order that you would request your staff pursue them.",Implementing road diets on arterial streets,Option,1,4,5,4,5,0,1
"_Preventing drivers from killing people will require not just incentives for people to drive less and nudges to make them drive better. It will also require policies that actively reshape the District's transportation systems and its landscape to decrease single-occupancy vehicle trips, and to slow down the speed of those trips when people do make them._ Please rank the following policies in the order that you would request your staff pursue them.","Making some streets, especially residential streets, car-free",Option,7,6,7,5,6,2,3
"_Preventing drivers from killing people will require not just incentives for people to drive less and nudges to make them drive better. It will also require policies that actively reshape the District's transportation systems and its landscape to decrease single-occupancy vehicle trips, and to slow down the speed of those trips when people do make them._ Please rank the following policies in the order that you would request your staff pursue them.",Regional reciprocity for automated traffic enforcement,Option,3,3,1,2,4,0,2
"_Preventing drivers from killing people will require not just incentives for people to drive less and nudges to make them drive better. It will also require policies that actively reshape the District's transportation systems and its landscape to decrease single-occupancy vehicle trips, and to slow down the speed of those trips when people do make them._ Please rank the following policies in the order that you would request your staff pursue them.",Building more housing and affordable housing in the District proximate to transit and job centers,Option,2,1,3,3,2,3,4
"_The District's automated traffic enforcement program cannot meaningfully enforce consequences for unsafe driving upon Maryland and Virginia residents, as the District does not have any reciprocity agreement with those states._ How do you think the council can best use its power to begin to develop such agreements?",Open-Ended Response,Open-Ended Response,"I am active on the Council of Governments. I have raised this issue, but we need support from the federal government to help incentivize the adoption of a reciprocity agreement.",The Council has an opportunity here to work with the other councils through the Metropolitan Washington Council of Governments (and the TPB) to work on how to create reciprocity agreements. Holding meetings through the Council of Governments to begin the conversation of creating reciprocity agreements for traffic enforcement.,"The Council can use its authority to encourage the Executive to pursue such reciprocity agreements with non-cooperative jurisdictions and withholding cooperation from those jurisdictions in other areas. As Councilmember, I would work with the Executive to develop tools that authorized DPW's Parking Enforcement Division and Boot & Tow Unit to use enhanced pursuit and enforcement for the most egregious scofflaws. While out of state violators may not stay in the District for long, we can make the time they are here very uncomfortable by authorizing enforcement against scofflaws in private parking lots and garages. We can eliminate their perceived safe zones and hold them accountable.",Create a reciprocity agreement or when those state residents are in violation the fee automatically double.,"We have to develop leverage. Right now, MD and VA have no reason to agree to reciprocity agreements. We must make it politically palatable. We do that by using our current enforcement levers more effectively, specifically substantially increasing booting and towing of MD and VA cars with an outstanding ticket through increased patrols and automated technology identify vehicles with outstanding tickets. We should also discuss reciprocity as part of regional WMATA funding discussions, specifically as a lever for VA and MD to help to contribute more of their share (since we could put a portion of ticket proceeds collected from this as part of a shared allocation toward WMATA investment).",Congestion charging in downtown DC would likely facilitate such agreements.,Have the auditor or CFO show how much each of the three jurisdictions are losing in revenue over lack of reciprocity. BUt we need these cameras to act as a disincentive and SLOW DRIVERS DOWN
"_On-street parking occurs in public space, which means that an on-street parking spot cannot belong to a specific individual, and people park in different places at different times._ What do you consider a reasonable threshold for evaluating if street parking is sufficient in any given neighborhood? ""A resident is able to find an available public street parking space ...""",Response,Response,"2. within one block in any direction of their residence (about a two- to four-minute walk), most of the time","2. within one block in any direction of their residence (about a two- to four-minute walk), most of the time","2. within one block in any direction of their residence (about a two- to four-minute walk), most of the time","1. on their residence's precise block (about a one-minute walk), most of the time","3. within two to three blocks, in any direction of their residence (about a five- to seven-minute walk), most of the time","4. within their neighborhood, in any direction of their residence, (about a ten-minute walk), most of the time","3. within two to three blocks, in any direction of their residence (about a five- to seven-minute walk), most of the time"
"_The District's goal to be carbon-free by 2050 requires most of the reduction of its transportation emissions to come from residents turning existing single-occupancy vehicle trips into transit, walking, and biking trips._ Please describe at least one trip you currently take by car (even if you, yourself, are not driving) that you can commit to taking on foot, by bus, by train, or by bike instead.",Open-Ended Response,Open-Ended Response,I can commit to walking or biking to the grocery store seven blocks away.,I often conduct meetings with people at businesses along Monroe Market. I usually drive there from my home about a mile away but can commit to walking (or taking a scooter if I'm cutting it close on time).,"I currently take a 22-minute drive from my house (Ward 7) to NOMA (Ward 6) to get my daughter to a high-quality daycare. I would prefer that we and many other Ward 7 and Ward 8 families deserve high-quality options within walking distance so we can have the quality bonding and opportunistic development time that comes from being able to safely walk our children to and from school. A large percentage of youth in Ward 7 and 8 travel over 45 minutes to get to school in the mornings. This is not a reflection of residents choosing to use a car over using transportation with less carbon emissions, it is a reflection of disparity of resources throughout our city. Action must be taken now to ensure that communities are structured to support access to basic necessities within a 10-15 minute commute, so residents have the opportunity and choice to choose low or zero emissions vehicles.",When I'm delivering food to areas that are considered food deserts and to seniors.,"I have never owned a car. I bike 80% of the time, and walk or take public transportation for the other 20% of in town trips. For future trips, I would pledge as Councilmember to remain car-free, and take >95% of my trips to activities of my office by bike, train, bus, or on foot","Going to Banneker Pool. I live in Ward 4, Montague and 16th St NW.",I SHOULD BIKE MORE TO THE WILSON BUILDING.
